Nom,Tipus_Equipament,Nombre_Llars_Subministrament,Energia_Produeix_ kWh,Nom_Districte,Emissions_ Estalviades_KgCO2,Longitude,Codi_Districte,Autoconsum_Xarxa,Potencia_kWp,Any_Alta,Latitude,Adreca
Escola Bressol Municipal i Pavelló esportiu c/Roger,Coberta,16,37800,Sants-Montjuïc,13608,2.128207384565,3,Autoconsum compartit,30.24,2021,41.377418942383,"Carrer Roger, 48-64"
Escola Nabí,Coberta,25,57800,Sarrià-Sant Gervasi,20808,2.101412701253,5,Autoconsum,46.24,2021,41.416261133040,"Carrer dels Reis Catòlics, 38"
Cobertura Ronda de Dalt - Fase I,Espai públic,19,43250,Horta-Guinardó,15570,2.142200720173,7,Autoconsum,43.25,2021,41.424563457190,"Passeig Vall d'Hebrón, 103"
Pèrgola Pl. Pilar Miró,Espai públic,40,92480,Sant Andreu,33293,2.201896147311,9,Autoconsum,92.48,2021,41.447973838908,Plaça Pilar Miró
Seu Central Barcelona Activa (Llacuna),Coberta,17,38250,Sant Martí,13770,2.192814753873,10,Autoconsum,30.6,2021,41.406620031369,"Carrer Llacuna, 162"
Cobertura túnel Badal,Espai públic,28,64520,Sants-Montjuïc,23227,2.134583762598050,3,Autoconsum,64.52,2023,41.36637096940930,Túnel Badal (entrada Idelfons Cerdà) Rambla Badal amb Avinguda Carrilet
Ateneu la Bòbila,Coberta,8,18000,Nou Barris,6480,2.177110933252,8,Autoconsum,14.4,2021,41.433787736477,"Carrer de l'Estudiant, 1"
HPO Porta Trinitat Vella (Casal Gent Gran Trinitat Vella),Coberta,11,24188,Sant Andreu,8708,2.189592684568,9,Autoconsum,19.35,2023,41.449707479388,"Carretera de Ribes, 51-65"
HPO Habitatge dotacional C/Lluis Borrassà,Coberta,13,30938,Sant Martí,11138,2.218046613403,10,Autoconsum compartit,24.75,2023,41.416436811914,"Carrer Lluís Borrassà, 23-25"
Biblioteca Xavier Benguerel,Coberta,29,67200,Sant Martí,24192,2.197598133265,10,Autoconsum,53.76,2022,41.392716539014,"Av. del Bogatell, 17"
Mercat de Sant Martí,Coberta,3,7150,Sant Martí,2574,2.205265535838,10,Autoconsum,5.72,2001,41.418827088277,"Carrer de Puigcerdà, 206"
Mercat de la Barceloneta,Coberta,15,34000,Ciutat Vella,12240,2.189221820932,1,Connexió a xarxa,27.2,2007,41.380478659873,"Pl. del Poeta Boscà, 1"
Edifici de Serveis Generals (Avinyó 7),Coberta,4,8288,Ciutat Vella,2984,2.176081000000,1,Autoconsum,6.63,2020,41.381631000000,"Carrer d'Avinyó, 7"
Oficina Municipal d'Informació al Consumidor (Palau Foronda),Coberta,4,8550,Eixample,3078,2.164899607845,2,Autoconsum,6.84,2019,41.377244563973,"Ronda de Sant Pau, 43, 45"
Parc Zoològic (Komodos),Coberta,5,11250,Ciutat Vella,4050,2.187651889737,1,Autoconsum,9,2024,41.385508776770,Parc de la Ciutadella
Mercat de Bon Pastor 1,Coberta,37,84000,Sant Andreu,30240,2.206011704413,9,Autoconsum,67.2,2019,41.436072472472,"Carrer de Sant Adrià, 154"
Punt Verd Barri Sarrià,Coberta,1,2250,Sarrià-Sant Gervasi,810,2.125734637876,5,Autoconsum,1.8,2019,41.398253688041,"Carrer del Cardenal Sentmenat, 6"
Mercat de Sant Gervasi,Coberta,5,12150,Sarrià-Sant Gervasi,4374,2.138562082058,5,Autoconsum,9.72,2024,41.405779225077,"Plaça de Joaquim Folguera, 6"
CEM Bac de Roda,Coberta,163,374375,Sant Martí,134775,2.194075751369,10,Autoconsum,299.5,2024,41.414574807646,"Carrer de Guipúscoa, 25"
CEM Júpiter,Coberta,82,189525,Sant Martí,68229,2.202177066714,10,Autoconsum,151.62,2024,41.418073456721,"Carrer de l'Agricultura, 232"
CEM Horta,Coberta,151,348300,Horta-Guinardó,125388,2.161051351370,7,Autoconsum,278.64,2024,41.433751900594,"Carrer de Feliu i Codina, 27"
